No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
21,Performance,Virtualize Long Lists,virtualize windowing large list,Web,Virtualize lists of ~50+ items,Render only visible rows (e.g. react-window / virtual scroller),Render thousands of DOM nodes at once,<FixedSizeList height={600} itemCount={5000} itemSize={40}>…</FixedSizeList>,{items.map(i => <Row key={i.id} {...i}/>)} // 5000 nodes,High
22,Performance,Image Optimization,image srcset lazy webp avif,Web,"Serve right-sized, modern, lazy-loaded images","Use responsive srcset/sizes, WebP/AVIF, loading=lazy, width/height",Ship one huge image and no dimensions (causes CLS),"<img src=""hero.avif"" srcset=""hero-800.avif 800w"" sizes=""100vw"" width=""1600"" height=""900"" loading=""lazy"">","<img src=""hero-4k.png"">",High
23,Performance,Debounce High-Freq Events,debounce throttle scroll input resize,Web,Debounce/throttle high-frequency handlers,Wrap search/scroll/resize handlers in debounce/throttle,Run heavy work on every input/scroll event,"input.addEventListener('input', debounce(search, 250))","input.addEventListener('input', searchHeavy)",Medium
24,Performance,Preconnect Critical Origins,preconnect preload critical origin,Web,Warm up critical third-party origins early,Use rel=preconnect/preload for critical fonts/APIs,Let critical origins connect late in the waterfall,"<link rel=""preconnect"" href=""https://fonts.gstatic.com"" crossorigin>",<!-- no preconnect; font connects during render -->,Low
25,Animation,Duration & Easing,animation transition duration easing,Web,Micro-interactions should be 150–300ms with real easing,Use ease-out to enter/ease-in to exit; transform + opacity only,Use long or linear transitions on core UI,"transition: transform 200ms ease-out, opacity 200ms ease-out;",transition: all 800ms linear;,Medium
26,Animation,Respect Reduced Motion,prefers-reduced-motion accessibility,Web,Honor the user's reduced-motion preference,Reduce/disable non-essential motion in the media query,Run parallax/large motion regardless of preference,@media (prefers-reduced-motion: reduce){*{animation:none;transition:none}},"/* animations always on, preference ignored */",Critical
27,Animation,Limit Continuous Motion,infinite loop animation loader,Web,Reserve infinite animation for loaders/live data,Loop only where it conveys ongoing activity,Keep decorative elements looping forever,.spinner{animation:spin 1s linear infinite},.logo{animation:bounce 1s infinite},Medium
28,Typography,Base Font Size,base font size 16px rem readable,Web,Body text must be readable; base ~16px,Use ~16px base and rem units for scalability,Set body text below 12px or lock px sizes,body{font-size:16px}p{font-size:1rem;line-height:1.5},body{font-size:10px},High
29,Typography,Support Zoom & Scaling,rem zoom reflow text scaling,Web,Layout must survive 200% browser zoom / larger text,Use rem/em and fluid layouts; test at 200% zoom,Use fixed px heights that clip text when scaled,padding:0.75rem 1rem; min-height:2.75rem;,height:32px;overflow:hidden; /* clips scaled text */,Medium
30,Layout,Sticky Element Clearance,sticky header scroll offset anchor,Web,Content must not hide behind sticky headers,Reserve space / use scroll-margin-top for anchored content,Let a sticky header cover the scrolled-to content,:target{scroll-margin-top:5rem} main{padding-top:var(--header-h)},position:sticky;top:0 /* overlaps content on anchor jump */,Medium
31,Theming,Light/Dark Contrast,dark mode contrast semantic tokens,Web,Ensure ≥4.5:1 contrast in both light and dark themes,Use semantic color tokens per theme; test both,Reuse light-theme grays directly in dark mode,:root{--text:#111} .dark{--text:#f9fafb},.dark{color:#9ca3af;background:#111827} /* fails contrast */,High
32,Anti-Pattern,No Hover-Only Controls,hover only hidden control affordance,Web,Don't hide essential controls behind hover/gesture only,Keep essential actions visible; hover is enhancement only,Reveal the only way to act on :hover,"<button class=""delete"">Delete</button>",.row .delete{opacity:0}.row:hover .delete{opacity:1},High
