No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
13,Out-of-band,Wrap OOB table rows in a template,"Elements like tr/td can't stand alone during parsing, so OOB fragments must be wrapped in a template tag.",Enclose an OOB <tr> in <template> so the browser parses it correctly.,Return a bare OOB <tr> and expect it to swap reliably.,"<template><tr id=""r1"" hx-swap-oob=""true""><td>Joe</td></tr></template>","<tr id=""r1"" hx-swap-oob=""true""><td>Joe</td></tr>",Medium,https://htmx.org/docs/
14,Boosting,Progressively enhance links with hx-boost,hx-boost turns anchors and forms into AJAX requests while still working without JavaScript.,"Wrap navigation in hx-boost=""true"" so it degrades gracefully.",Replace plain links with JS handlers that break when scripting is off.,"<div hx-boost=""true""><a href=""/blog"">Blog</a></div>","<a href=""#"" onclick=""loadBlog()"">Blog</a>",Medium,https://htmx.org/docs/
15,Boosting,Detect htmx requests via HX-Request,Boosted and htmx requests send the HX-Request header so servers can return partials vs full pages.,Check HX-Request server-side to decide between a fragment and a full document.,Return the same full HTML page to both boosted and direct requests.,<!-- server: if HX-Request header present -> return fragment -->,<!-- server: always return full <html> page for boosted nav -->,Medium,https://htmx.org/docs/
16,Forms,Set multipart encoding for file uploads,"File uploads require hx-encoding=""multipart/form-data"" on the form.","Add hx-encoding=""multipart/form-data"" to any form with a file input.",Submit a file input with the default urlencoded encoding.,"<form hx-post=""/upload"" hx-encoding=""multipart/form-data""><input type=""file"" name=""f""></form>","<form hx-post=""/upload""><input type=""file"" name=""f""></form>",High,https://htmx.org/examples/
17,Forms,Return 422 to keep validation errors in the form,"htmx ignores 4xx bodies by default, but you can configure 422 responses to swap validation error markup.",Respond 422 with the re-rendered form so inline errors are shown.,"Return a 200 for validation failures, muddling success and error states.","<input name=""email"" hx-post=""/validate"" hx-trigger=""changed delay:500ms"" hx-target=""closest div"" hx-swap=""outerHTML"">","<input name=""email"" hx-post=""/validate""> <!-- errors returned as 200 -->",Medium,https://htmx.org/docs/
18,Forms,Synchronize form field requests with hx-sync,hx-sync coordinates in-flight requests between elements to avoid race conditions on a shared form.,"Use hx-sync=""closest form:abort"" so field validation cancels on submit.",Let field validation and form submit race each other unmanaged.,"<input hx-post=""/validate"" hx-trigger=""change"" hx-sync=""closest form:abort"">","<input hx-post=""/validate"" hx-trigger=""change"">",Medium,https://htmx.org/docs/
19,Forms,Always re-validate on the server,"Client-side validation can always be bypassed, so server-side checks are mandatory.",Treat client validation as UX only and enforce all rules on the server.,Rely solely on browser or client htmx validation for correctness.,<!-- server rejects invalid input regardless of client checks -->,<!-- server trusts client-validated input without re-checking -->,High,https://htmx.org/docs/
20,Feedback,Show a loading indicator with hx-indicator,"htmx adds the htmx-request class during a request, revealing elements marked htmx-indicator.",Reference a spinner via hx-indicator so users see request progress.,Leave requests with no visible feedback during network latency.,"<button hx-get=""/x"" hx-indicator=""#spin"">Go</button>
<img id=""spin"" class=""htmx-indicator"" src=""/s.gif"" alt=""Loading"">","<button hx-get=""/x"">Go</button>",Medium,https://htmx.org/docs/
21,Feedback,Disable controls in flight with hx-disabled-elt,"hx-disabled-elt adds the disabled attribute to elements while a request is active, preventing double-submits.","Set hx-disabled-elt=""this"" on buttons that trigger mutations.",Allow users to click a submit button repeatedly during a slow request.,"<button hx-post=""/save"" hx-disabled-elt=""this"">Save</button>","<button hx-post=""/save"">Save</button>",Medium,https://htmx.org/docs/
22,Feedback,Confirm destructive actions,hx-confirm shows a native confirmation dialog before issuing the request.,Add hx-confirm to delete and other irreversible actions.,Delete records on a single unconfirmed click.,"<button hx-delete=""/account"" hx-confirm=""Really delete?"">Delete</button>","<button hx-delete=""/account"">Delete</button>",Medium,https://htmx.org/examples/
23,Performance,Bound polling and let the server stop it,Fixed polling uses every <time>; respond with HTTP 286 to tell htmx to stop polling.,Return 286 once a job completes so the poll loop ends.,Poll a completed resource forever with no stop condition.,"<div hx-get=""/job"" hx-trigger=""every 2s"">...</div>
<!-- server returns 286 when done -->","<div hx-get=""/job"" hx-trigger=""every 2s"">...</div> <!-- never stops -->",High,https://htmx.org/docs/
24,Performance,Load below-the-fold content lazily,The load and revealed triggers defer fetching content until needed.,"Use hx-trigger=""revealed"" for infinite scroll and load for deferred panels.",Render every expensive panel eagerly on first page load.,"<tr hx-get=""/contacts?page=3"" hx-trigger=""revealed"" hx-swap=""afterend"">...</tr>","<div hx-get=""/graph"" hx-trigger=""click"">Chart</div> <!-- loaded eagerly elsewhere -->",Low,https://htmx.org/examples/
25,Performance,Vary cached responses on HX-Request,"Partials and full pages share URLs, so use Vary: HX-Request to keep caches from colliding.",Send Vary: HX-Request (or a cache-buster) when a URL serves both fragment and full page.,Cache a fragment and a full page under the same key.,<!-- server: Vary: HX-Request -->,<!-- server: no Vary header; fragment served as full page from cache -->,Medium,https://htmx.org/docs/
26,Performance,Return 204 to swap nothing,"A 204 No Content response tells htmx to perform no swap, useful for fire-and-forget actions.",Return 204 when an action should not change the DOM.,Return empty 200 markup that wipes the target unintentionally.,"<button hx-post=""/ping"">Ping</button> <!-- server returns 204 -->","<button hx-post=""/ping"">Ping</button> <!-- server returns empty 200 -->",Low,https://htmx.org/docs/
27,Routing,Update history only for real URLs,"hx-push-url adds history entries, but every pushed URL must return a full page on direct navigation.",Push URLs that your server can fully render on reload/deep-link.,Push a URL that only responds correctly to an htmx fragment request.,"<a hx-get=""/blog"" hx-push-url=""true"">Blog</a>","<a hx-get=""/blog-fragment"" hx-push-url=""true"">Blog</a> <!-- 404 on reload -->",High,https://htmx.org/docs/
28,Routing,Return HTML instead of 3xx redirects,htmx-specific response headers aren't processed on 3xx redirects; return the fragment or use HX-Redirect.,"Directly return the new HTML fragment, skipping the Post/Redirect/Get dance.",Issue a 302 redirect and expect HX-Push-Url style headers to apply.,"<!-- server: 200 with new fragment, or HX-Redirect header -->",<!-- server: 302 Location: /next with HX-Trigger header (ignored) -->,Medium,https://htmx.org/docs/
29,Security,Only call routes you control,"htmx injects a route's response into the page, so calling untrusted domains risks script injection.",Use relative URLs; rely on htmx 2 disabling cross-domain requests by default.,Point hx-get at an external domain you do not control.,"<button hx-get=""/events"">Search events</button>","<button hx-get=""https://google.com/search?q=events"">Search</button>",High,https://htmx.org/essays/web-security-basics-with-htmx/
30,Security,Always use an auto-escaping template engine,Escaping all dynamic content in an auto-escaping engine is the core defense against XSS.,Render user content through an auto-escaping template so markup is neutralized.,Concatenate user input into HTML without escaping.,<a>{{ user.name }}</a>  <!-- auto-escaped -->,"<a>{ userInput }</a>  <!-- raw, unescaped -->",High,https://htmx.org/essays/web-security-basics-with-htmx/
31,Security,Only serve user content inside HTML tag bodies,"Escaping does not protect dangerous contexts like script/style bodies, tag names, or attributes.","Place user data as text between tags, never as a tag name or attribute source.","Interpolate user input into a <script>, <style>, tag name, or attribute.",<a>{{ user.name }}</a>,<script>const n = {{ user.name }}</script>,High,https://htmx.org/essays/web-security-basics-with-htmx/
32,Security,Add CSRF tokens via hx-headers,CSRF tokens can be attached to all htmx requests by setting hx-headers on a root element.,Set hx-headers with the CSRF token on html/body so it inherits to requests.,Send state-changing hx-post requests without any CSRF token.,"<body hx-headers='{""X-CSRF-TOKEN"":""TOKEN_HERE""}'>...</body>","<body><form hx-post=""/transfer"">...</form></body>",High,https://htmx.org/docs/
33,Security,Secure auth cookies with SameSite=Lax,"Cookies set Secure, HttpOnly, and SameSite=Lax defend against XSS token theft and CSRF.",Set Secure; HttpOnly; SameSite=Lax on auth cookies.,Store auth tokens in localStorage and attach them via JavaScript.,<!-- Set-Cookie: token=...; Secure; HttpOnly; SameSite=Lax -->,"<!-- token kept in localStorage, read by JS -->",High,https://htmx.org/essays/web-security-basics-with-htmx/
34,Security,Scrub or disable htmx on injected raw HTML,Injecting third-party HTML is discouraged; hx-disable stops htmx processing on untrusted subtrees.,Wrap untrusted content in hx-disable and strip hx-/script attributes.,Inject raw third-party HTML and let htmx process its attributes.,<div hx-disable>{{ untrusted_html }}</div>,<div>{{ untrusted_html }}</div>,High,https://htmx.org/docs/
35,Security,Keep sensitive pages out of history cache,"hx-history=""false"" prevents a page snapshot being saved to localStorage history.","Set hx-history=""false"" on pages showing sensitive data.",Let pages with private data be snapshotted into the history cache.,"<body hx-history=""false"">...</body>",<body>...</body>,Medium,https://htmx.org/docs/
36,Templates,Hoist shared attributes via inheritance,"Most hx-* attributes inherit to children, so common config can be declared once on a parent.",Place shared hx-target or hx-headers on a parent to avoid repetition.,Repeat identical hx-* attributes on every child element.,"<div hx-target=""#out""><button hx-get=""/a"">A</button><button hx-get=""/b"">B</button></div>","<button hx-get=""/a"" hx-target=""#out"">A</button>
<button hx-get=""/b"" hx-target=""#out"">B</button>",Low,https://htmx.org/docs/
37,Scripting,Keep behavior local and hypermedia-friendly,"Locality of Behaviour favors scripting that complements hypermedia, using inline hx-on for element events.",Handle element events with hx-on and dispatch events for component talk.,Move all behavior into distant JS files that rebuild client state.,"<button hx-on:click=""alert('Clicked!')"">Click Me</button>",// large external controller manipulating the DOM out of view,Low,https://htmx.org/essays/
38,Templates,Reprocess dynamically injected htmx markup,"When JavaScript inserts htmx-attributed HTML, htmx.process() must be called to activate it.",Call htmx.process(el) after injecting htmx markup via JS.,Inject htmx attributes with JS and expect them to work untouched.,<!-- js: el.innerHTML = html; htmx.process(el); -->,<!-- js: el.innerHTML = html; // attributes never activated -->,Medium,https://htmx.org/docs/
