No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
12,Derived Values,Keep memos pure,A memo's function should be side-effect free; setting signals inside can cause infinite loops.,Return a computed value and nothing else from a memo.,Set a signal or trigger side effects inside a memo.,const isEven = createMemo(() => count() % 2 === 0);,createMemo(() => { if (count() > 10) setMsg('hi'); return count(); });,High,https://docs.solidjs.com/concepts/derived-values/memos
13,Derived Values,Use a plain derived signal for cheap values,"Simple, inexpensive derivations can just be a function that reads signals, no memo needed.",Define const double = () => count() * 2 for trivial derivations.,Reach for createMemo on trivial one-off computations by reflex.,const double = () => count() * 2;,const double = createMemo(() => count() * 2); // overkill if used once,Low,https://docs.solidjs.com/guides/state-management
14,State,"Follow one-way data flow: state, view, action","State is the source of truth, the view renders it, and actions update it, keeping updates predictable.",Update state only through setters triggered by actions.,Mutate rendered values directly to change the UI.,const inc = () => setCount((p) => p + 1);,count = count + 1; // bypasses the signal,Medium,https://docs.solidjs.com/guides/state-management
15,State,Lift shared state to a common ancestor,"When multiple components need the same state, hoist it to a shared parent and pass values and setters down.",Hold state in the ancestor and pass setCount to children.,Duplicate the same signal in sibling components.,<Counter setCount={setCount} /><Display count={count()} />,// each child owns its own createSignal copy,Medium,https://docs.solidjs.com/guides/state-management
16,Props,Never destructure props,Destructuring reads the value once and breaks reactivity; access props.x or wrap in a function.,Read props.name directly or use () => props.name.,Destructure props into local constants.,const name = () => props.name;,const { name } = props; // breaks reactivity,High,https://docs.solidjs.com/concepts/components/props
17,Props,Treat props as read-only,Props flow one way and cannot be mutated by the child; pass a setter to change parent state.,Call a setter passed from the parent to update state.,Assign to props to change parent data.,props.setCount((p) => p + 1);,props.count = props.count + 1; // props are read-only,Medium,https://docs.solidjs.com/concepts/components/props
18,Props,Set default prop values with mergeProps,mergeProps merges reactive objects like Object.assign while preserving reactivity of each property.,Use mergeProps to layer defaults under incoming props.,"Spread props into a plain object, losing reactivity.","const merged = mergeProps({ name: 'Ryan' }, props);","const merged = { name: 'Ryan', ...props }; // loses reactivity",Medium,https://docs.solidjs.com/concepts/components/props
19,Props,"Split props with splitProps, not destructuring",splitProps separates a props object into groups while keeping each property reactive.,Use splitProps to forward subsets of props reactively.,Destructure to split props before forwarding them.,"const [local, rest] = splitProps(props, ['name']);","const { name, ...rest } = props; // breaks reactivity",Medium,https://docs.solidjs.com/concepts/components/props
20,Props,Wrap repeated children access with the children helper,Accessing props.children multiple times can recreate child elements; the children helper memoizes them.,Resolve children once via children(() => props.children).,Reference props.children repeatedly in the same render.,const c = children(() => props.children);,return <>{props.children}{props.children}</>;,Medium,https://docs.solidjs.com/concepts/components/props
21,Props,Use Context to avoid prop drilling,"When many nested components need the same data, Context supplies it without threading props through each layer.",Provide shared data through Context for deep trees.,Pass the same prop through many intermediate components.,const value = useContext(AppContext);,<A x={x}><B x={x}><C x={x} /></B></A>,Low,https://docs.solidjs.com/concepts/components/props
22,Control Flow,Use <Show> for conditional rendering,"<Show> renders children when its when prop is truthy and supports a fallback, cleaner than inline ternaries.",Gate JSX with <Show when={...} fallback={...}>.,Nest raw ternaries in JSX for show/hide logic.,<Show when={!data.loading} fallback={<Spinner/>}>{data().name}</Show>,{!data.loading ? <div>{data().name}</div> : <Spinner/>},Medium,https://docs.solidjs.com/concepts/control-flow/conditional-rendering
23,Control Flow,Use <Switch>/<Match> for exclusive conditions,"<Switch> evaluates <Match> children in order and renders the first truthy one, like switch/case.",Group mutually exclusive branches in <Switch> with a fallback.,Chain deeply nested <Show> components for many conditions.,<Switch fallback={<P/>}><Match when={a}>A</Match><Match when={b}>B</Match></Switch>,<Show when={a}>A<Show when={b}>B</Show></Show>,Medium,https://docs.solidjs.com/concepts/control-flow/conditional-rendering
24,Lists,"Render arrays with <For>, not Array.map",<For> is the control-flow component for dynamic lists and preserves fine-grained reactivity when items reorder.,Loop collections with <For each={items()}>.,Use items().map() inside JSX for reactive lists.,<For each={items()}>{(item) => <li>{item.name}</li>}</For>,{items().map((item) => <li>{item.name}</li>)},High,https://docs.solidjs.com/concepts/control-flow/list-rendering
25,Lists,Use <For> for arrays of objects where order changes,<For> keys rows by reference and moves DOM nodes on reorder; its index is a signal called as index().,Use <For> for object lists that reorder or resize.,Use <Index> when items are objects that shift position.,"<For each={data()}>{(item, index) => <li>{index()}: {item.name}</li>}</For>",<Index each={data()}>{(item) => <li>{item().name}</li>}</Index>,Medium,https://docs.solidjs.com/concepts/control-flow/list-rendering
26,Lists,Use <Index> for primitives and stable inputs,"When list length/order is stable but content changes (e.g. input fields), <Index> re-renders less; item is a signal.",Use <Index> for arrays of strings/numbers and form inputs.,Use <For> for primitive lists that only change values.,<Index each={inputs()}>{(input) => <input value={input()} />}</Index>,<For each={inputs()}>{(input) => <input value={input} />}</For>,Medium,https://docs.solidjs.com/concepts/control-flow/list-rendering
27,Stores,"Use createStore for nested, complex state","Stores use proxies for fine-grained reactivity, updating only changed properties instead of triggering full re-renders.",Manage deeply nested objects/arrays with createStore.,Hold large nested objects in a single signal.,"const [store, setStore] = createStore({ users: [] });","const [state, setState] = createSignal({ users: [] });",Medium,https://docs.solidjs.com/concepts/stores
28,Stores,Read store values inside a tracking scope,"Store signals are created lazily on first access within a tracking scope, so reads outside are not tracked.",Access store.x inside JSX or createEffect to establish dependencies.,Read store properties at the top level and expect updates.,createEffect(() => console.log(store.users.at(-1)));,console.log(store.users.at(-1)); // not tracked,High,https://docs.solidjs.com/concepts/stores
29,Stores,Update stores with path syntax setters,"Path syntax targets the exact key/index to change, triggering reactivity only for affected paths.","Use setStore('users', i, 'loggedIn', false) style targeted updates.",Replace the whole array with a spread when only one item changes.,"setStore('users', store.users.length, newUser);","setStore('users', (u) => [...u, newUser]); // replaces entire array",Medium,https://docs.solidjs.com/concepts/stores
30,Stores,Batch multiple mutations with produce,produce gives a mutable draft so several properties update in one call instead of many setter calls.,Use produce for grouped mutations on objects/arrays.,Issue many separate setStore calls for one logical change.,"setStore('users', 0, produce((u) => { u.name='x'; u.loc='y'; }));","setStore('users',0,'name','x'); setStore('users',0,'loc','y');",Medium,https://docs.solidjs.com/concepts/stores
31,Stores,Merge fetched data with reconcile,"reconcile diffs incoming data against the store and updates only changed values, avoiding needless updates.",Wrap new server data in reconcile when setting a store.,Overwrite the store wholesale on every refetch.,"setData('animals', reconcile(newData));","setData('animals', newData); // replaces, re-renders everything",Medium,https://docs.solidjs.com/concepts/stores
32,Stores,Use unwrap for non-reactive raw data,unwrap returns a plain object snapshot for use outside tracking scopes or with third-party libraries.,Call unwrap(store) before handing data to external code.,Pass the reactive proxy directly to libraries expecting plain objects.,const raw = unwrap(data);,thirdParty(data); // passes a reactive proxy,Low,https://docs.solidjs.com/concepts/stores
33,Routing,Navigate with the <A> component,The <A> component adds routing features like activeClass and inactiveClass over a plain anchor tag.,Use <A href='/users'> for in-app navigation.,Use raw anchors when you need active-state styling.,<A href='/users' activeClass='on'>Users</A>,<a href='/users'>Users</a>,Low,https://docs.solidjs.com/guides/routing-and-navigation
34,Routing,Code-split routes with lazy,"lazy postpones loading a route component until it is navigated to, reducing initial bundle size.",Wrap route components in lazy(() => import(...)).,Import every page eagerly at the app entry.,const Users = lazy(() => import('./pages/Users'));,import Users from './pages/Users';,Medium,https://docs.solidjs.com/guides/routing-and-navigation
35,Routing,Read dynamic params with useParams,useParams exposes reactive route parameters defined with the :param syntax.,Access params.id via const params = useParams().,Parse the URL manually to get route parameters.,const params = useParams(); // params.id,const id = location.pathname.split('/').pop();,Medium,https://docs.solidjs.com/guides/routing-and-navigation
36,Routing,Preload route data in parallel,"A preload function starts data fetching alongside route loading, or eagerly on link hover.",Attach preload={fn} to a <Route> to fetch data early.,Start all fetching only after the component mounts.,<Route path='/users/:id' component={User} preload={preloadUser} />,// fetch inside the component after navigation completes,Medium,https://docs.solidjs.com/guides/routing-and-navigation
37,Routing,Validate params with matchFilters,"matchFilters constrains route params by enum, regex, or predicate so non-matching URLs do not match the route.",Pass matchFilters to enforce param shape (e.g. numeric id).,Accept any param string and validate manually in the component.,<Route path='/users/:id' matchFilters={{ id: /^\d+$/ }} />,<Route path='/users/:id' /> // then check typeof id in body,Low,https://docs.solidjs.com/guides/routing-and-navigation
