No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
11,Reactivity,"Set text with x-text, not innerHTML",x-text sets textContent from an expression and escapes any markup safely.,Use x-text for dynamic text content.,Reach for x-html when plain text will do.,"<span x-text=""count * 2""></span>","<span x-html=""count * 2""></span>",Medium,https://alpinejs.dev/directives/html
12,Forms,Two-way bind inputs with x-model,x-model keeps an input and a data property in sync in both directions.,Bind form fields with x-model on a component with x-data.,Manually wire @input handlers to mirror value into state.,"<input type=""text"" x-model=""message""><span x-text=""message""></span>","<input type=""text"" @input=""message=$event.target.value"">",High,https://alpinejs.dev/directives/model
13,Forms,Cast typed values with .number or .boolean,"x-model stores values as strings by default, so use modifiers when a typed value is needed.",Add .number or .boolean to store the correct JS type.,Compare a numeric input against a number while it holds a string.,"<input type=""text"" x-model.number=""age"">","<input type=""text"" x-model=""age""> <!-- age is a string -->",Medium,https://alpinejs.dev/directives/model
14,Forms,Delay validation-heavy updates with .lazy,"x-model.lazy syncs on the change event, ideal for holding off real-time validation until blur.",Use x-model.lazy when you want to validate after the field loses focus.,Fire validation on every keystroke via the default binding.,"<input type=""text"" x-model.lazy=""username"">","<input type=""text"" x-model=""username"" @input=""validateNow()"">",Low,https://alpinejs.dev/directives/model
15,Forms,Seed inputs from server values with .fill,x-model ignores the value attribute by default; .fill lets it populate an empty property.,Add .fill so server-rendered value attributes seed empty state.,Expect the value attribute to hydrate x-model without .fill.,"<input type=""text"" value=""Caleb"" x-model.fill=""name"">","<input type=""text"" value=""Caleb"" x-model=""name""> <!-- value ignored -->",Medium,https://alpinejs.dev/directives/model
16,Forms,Collect grouped checkboxes into an array,Multiple checkboxes bound to the same property build an array of their values.,Bind grouped checkboxes to one array property.,Track each checkbox with a separate boolean when they are one group.,"<input type=""checkbox"" value=""red"" x-model=""colors""><input type=""checkbox"" value=""blue"" x-model=""colors"">","<input type=""checkbox"" x-model=""red""><input type=""checkbox"" x-model=""blue"">",Low,https://alpinejs.dev/directives/model
17,Events,Prevent default with the .prevent modifier,"The .prevent modifier calls preventDefault(), commonly to stop native form submission.",Use @submit.prevent to handle a form in Alpine.,Call $event.preventDefault() by hand when a modifier exists.,"<form @submit.prevent=""save()"">","<form @submit=""$event.preventDefault(); save()"">",Medium,https://alpinejs.dev/directives/on
18,Events,"Throttle high-frequency events, debounce settling ones",Use .throttle for continuous events like scroll and .debounce for input that should fire once activity stops.,Use @scroll.throttle for scroll and @input.debounce for search.,Debounce scroll (never fires) or hit the network on every keystroke.,"<input @input.debounce.500ms=""fetchResults""><div @scroll.window.throttle=""onScroll"">","<input @input=""fetchResults""><div @scroll.window.debounce=""onScroll"">",Medium,https://alpinejs.dev/directives/on
19,Events,Close menus with @click.outside,The .outside modifier fires when a click lands outside the element and only while it is visible.,Use @click.outside to dismiss dropdowns and popovers.,Wire manual document listeners and visibility checks by hand.,"<div x-show=""open"" @click.outside=""open=false"">Contents</div>","<div x-show=""open"" @click.window=""open=false""> <!-- closes on its own toggle -->",Medium,https://alpinejs.dev/directives/on
20,Events,Register page-wide listeners with .window,The .window modifier attaches the listener to window for global events like Escape.,Use @keyup.escape.window for page-level shortcuts.,Add manual window.addEventListener calls in x-init instead.,"<div @keyup.escape.window=""open=false"">","<div x-init=""window.addEventListener('keyup', ...)"">",Low,https://alpinejs.dev/directives/on
21,Events,Keep event names lowercase in the attribute,"HTML attributes are case-insensitive, so camelCase event names must use the .camel modifier.",Use kebab-case with .camel to target a camelCased event.,Write @customEvent expecting a camelCase listener.,"<div @custom-event.camel=""handle"">","<div @customEvent=""handle""> <!-- listens for customevent -->",Medium,https://alpinejs.dev/directives/on
22,Events,Mark touch listeners .passive for scroll performance,Omitting .passive on touch listeners can block the browser's scroll optimizations.,Add .passive to touch event listeners.,Attach touchstart handlers without .passive.,"<div @touchstart.passive=""onTouch"">","<div @touchstart=""onTouch"">",Low,https://alpinejs.dev/directives/on
23,Templates,Declare x-for on a template with one root,x-for must live on a <template> element containing exactly one root element.,Wrap loop content in a single-root <template x-for>.,Put x-for on a normal element or use multiple roots.,"<template x-for=""c in colors""><li x-text=""c""></li></template>","<li x-for=""c in colors"" x-text=""c""></li>",High,https://alpinejs.dev/directives/for
24,Templates,Add a stable :key to iterated lists,"Keys let Alpine track elements across reorders, adds, and removes to avoid odd side-effects.","Bind :key to a unique, stable id in x-for.","Omit :key, or key by array index, on reorderable lists.","<template x-for=""c in colors"" :key=""c.id""><li x-text=""c.label""></li></template>","<template x-for=""c in colors""><li x-text=""c.label""></li></template>",High,https://alpinejs.dev/directives/for
25,Templates,Wrap x-if content in a single-root template,x-if adds and removes real DOM and must be declared on a <template> with one root element.,Put x-if on a <template> wrapping one root element.,Apply x-if directly to an element or with multiple roots.,"<template x-if=""open""><div>Contents...</div></template>","<div x-if=""open"">Contents...</div>",High,https://alpinejs.dev/directives/if
26,Performance,Choose x-show for frequent toggles,"x-show only flips CSS display and stays in the DOM, so it is cheap to toggle repeatedly and supports transitions.",Use x-show for elements toggled often or that need transitions.,"Use x-if for a frequently toggled element, paying re-create cost each time.","<div x-show=""open"" x-transition>Menu</div>","<template x-if=""open""><div x-transition>Menu</div></template>",Medium,https://alpinejs.dev/directives/if
27,Performance,Choose x-if for rarely rendered markup,"x-if keeps markup out of the DOM until needed, avoiding the initial cost of elements that may never show.",Use x-if for heavy or seldom-shown content.,"Render expensive rarely-used markup with x-show, keeping it in the DOM.","<template x-if=""showModal""><div class=""modal"">...</div></template>","<div x-show=""showModal"" class=""modal"">...</div>",Medium,https://alpinejs.dev/directives/if
28,Initialization,Prefer an init() method for setup logic,"Alpine automatically calls an init() method on x-data, which is cleaner than cramming logic into inline x-init.",Define init() in x-data for non-trivial startup work.,Stuff multi-statement setup into an inline x-init string.,"<div x-data=""{ init(){ this.load() } }"">","<div x-data=""{}"" x-init=""/* many statements */"">",Low,https://alpinejs.dev/directives/init
29,Initialization,Await async setup inside x-init,"x-init supports await, so data can be fetched into state before further DOM processing.",Fetch and assign async data with await in x-init or init().,Fetch without awaiting and read the data before it resolves.,"<div x-data=""{ posts:[] }"" x-init=""posts = await (await fetch('/posts')).json()"">","<div x-data=""{ posts:[] }"" x-init=""fetch('/posts').then(r=>r.json())"">",Medium,https://alpinejs.dev/directives/init
30,Initialization,Wait for render with $nextTick,"Code needing the finished DOM should run inside $nextTick, since plain x-init runs before rendering completes.",Wrap post-render work in $nextTick(() => ...).,Read rendered dimensions directly in x-init before render finishes.,"<div x-init=""$nextTick(() => chart.render())"">","<div x-init=""chart.render()""> <!-- DOM not ready -->",Medium,https://alpinejs.dev/directives/init
31,Reactivity,Toggle classes with the object syntax,x-bind class object syntax maps class names to booleans and does not persist toggled classes in the attribute.,Use :class object syntax to toggle preset classes.,Concatenate class strings manually for conditional classes.,"<div class=""hidden"" :class=""{ 'hidden': !show }"">","<div :class=""show ? 'block' : 'hidden'""> <!-- see string form -->",Low,https://alpinejs.dev/directives/bind
32,Reactivity,Rely on :class preserving existing classes,"String/ternary :class bindings merge with, rather than overwrite, an element's existing classes.",Combine static class and :class knowing existing classes persist.,Assume :class wipes the element's static classes.,"<div class=""opacity-50"" :class=""hide && 'hidden'"">","<div :class=""hide ? 'opacity-50 hidden' : 'opacity-50'""> <!-- redundant -->",Low,https://alpinejs.dev/directives/bind
33,DOM Access,Use $refs instead of document.querySelector,"$refs is a scoped, succinct alternative for manually reaching DOM elements within a component.",Tag elements with x-ref and access them via $refs.,Use global document.querySelector from inside a component.,"<span x-ref=""text"">Hi</span><button @click=""$refs.text.remove()"">Remove</button>","<button @click=""document.querySelector('.text').remove()"">Remove</button>",Low,https://alpinejs.dev/magics/refs
34,DOM Access,Do not create refs dynamically inside x-for,In V3 $refs only resolves for statically-created elements; a bound :x-ref stays a literal string.,Reference static elements with $refs; use data for dynamic items.,Bind :x-ref inside an x-for loop expecting a live reference.,"<div x-ref=""row"">...</div> <!-- static -->","<template x-for=""item in items""><div :x-ref=""item.name"">...</div></template>",Medium,https://alpinejs.dev/magics/refs
35,Events,Communicate between components with $dispatch and .window,"Dispatched events bubble to common ancestors, so cross-component and sibling listeners need .window.",Listen with .window when dispatcher and listener are siblings or separate components.,Listen for a dispatched event on a sibling without .window.,"<span @notify.window=""handle""></span><button @click=""$dispatch('notify')"">Notify</button>","<span @notify=""handle""></span><button @click=""$dispatch('notify')"">Notify</button>",Medium,https://alpinejs.dev/magics/dispatch
36,Events,Pass event payloads via detail,$dispatch sends a second-argument payload that Alpine exposes on $event.detail.,Read dispatched data from $event.detail.,Try to read the payload from the event object directly.,"<div @notify=""alert($event.detail.message)""><button @click=""$dispatch('notify', { message:'Hi' })"">Go</button></div>","<div @notify=""alert($event.message)""><button @click=""$dispatch('notify', { message:'Hi' })"">Go</button></div>",Low,https://alpinejs.dev/magics/dispatch
37,Global State,Reserve Alpine.store for truly page-wide state,Global stores are meant for data shared across every component; local x-data and Alpine.data() come first.,Use $store only for genuinely global state like theme.,Default to global stores for state a single component owns.,"Alpine.store('darkMode', { on:false, toggle(){ this.on=!this.on } })","Alpine.store('dropdownOpen', false) // belongs in local x-data",Medium,https://alpinejs.dev/magics/store
38,Global State,Register stores on alpine:init,Stores must be registered before components initialize so $store is available at boot.,Declare Alpine.store() inside the alpine:init listener.,Register a store after Alpine has already initialized components.,"document.addEventListener('alpine:init', () => { Alpine.store('darkMode', { on:false }) })","Alpine.store('darkMode', { on:false }) // ran too late",High,https://alpinejs.dev/magics/store
39,Rendering,Prevent flash of uninitialized content with x-cloak,"x-cloak hides elements until Alpine loads and strips the attribute, avoiding a raw-template blip.",Add x-cloak plus the [x-cloak]{display:none!important} CSS.,Ship dynamic content with no x-cloak and let raw markup flash.,"<style>[x-cloak]{display:none!important}</style><span x-cloak x-text=""message""></span>","<span x-text=""message""></span> <!-- flashes before init -->",Medium,https://alpinejs.dev/directives/cloak
40,Security,Never feed user content to x-html,x-html sets innerHTML and rendering untrusted content opens XSS vulnerabilities.,Use x-html only for content you fully control.,Bind user-provided or third-party HTML with x-html.,"<span x-text=""userInput""></span>","<span x-html=""userInput""></span>",High,https://alpinejs.dev/directives/html
